STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,coicop,Classification of individual consumption by purpose (COICOP),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,BG,Bulgaria,2020,,3237,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,CY,Cyprus,2005,,5158,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,CY,Cyprus,2010,,5484,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,CY,Cyprus,2015,,5451,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,CY,Cyprus,2020,,5236,,e,estimated,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,CZ,Czechia,2005,,2503,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,CZ,Czechia,2010,,2666,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,CZ,Czechia,2015,,3183,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,CZ,Czechia,2020,,3546,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,DE,Germany,2005,,3185,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,DE,Germany,2010,,3298,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,DE,Germany,2015,,3561,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,DE,Germany,2020,,3608,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,DK,Denmark,2005,,2872,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,DK,Denmark,2010,,3358,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,DK,Denmark,2015,,3616,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,DK,Denmark,2020,,3737,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,EE,Estonia,2005,,2440,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,EE,Estonia,2010,,2426,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,EE,Estonia,2015,,3388,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,EE,Estonia,2020,,3284,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,EL,Greece,2005,,4801,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,EL,Greece,2010,,4791,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,EL,Greece,2015,,4539,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,EL,Greece,2020,,4494,,,,,
