STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,indx,Index,coicop,Classification of individual consumption by purpose (COICOP),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,EE,Estonia,2022,,141.6951852,,,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,EE,Estonia,2023,,159.2435648,,,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,EE,Estonia,2024,,163.8157488,,,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,FI,Finland,2016,,99.83555172,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,FI,Finland,2017,,103.4924713,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,FI,Finland,2018,,104.5883046,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,FI,Finland,2019,,105.8032759,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,FI,Finland,2020,,105.2896264,,be,"break in time series, estimated",,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,FI,Finland,2021,,109.1306609,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,FI,Finland,2022,,131.2813506,,e,estimated,,
